model_name,battery_kWh,motor_power_kW,range_km,energy_per_km,efficiency_km_per_kWh,power_ratio,driving_style,style_multiplier,initial_soc,trip_distance_km,energy_consumed_kWh,final_soc
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Aggressive,1.25,59.29419939,3.230612677,0.463635574,58.07410577
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Aggressive,1.25,88.22081155,13.4039285,1.825153663,85.12733076
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Aggressive,1.25,85.01379195,30.39582828,3.015459154,72.95195533
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Highway,1.1,51.01127465,34.71106588,3.152945704,38.8845604
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,City,1,96.87671773,21.3115564,2.466615324,93.75441985
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Eco,0.85,12.88558539,11.33612268,1.106280629,9.974320576
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Eco,0.85,82.67765336,18.61873845,1.831704593,80.35903995
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Highway,1.1,12.1310021,27.1130944,3.122974224,5.191059381
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Eco,0.85,36.73290324,17.75993383,1.644438318,33.94571965
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,96.92242925,3.224950232,0.255948431,95.89863553
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Eco,0.85,63.88580656,16.82507985,1.497520196,60.5579839
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,City,1,76.29355023,18.02490092,1.552532379,68.20744409
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,53.27894016,39.07328556,3.234056743,34.58497055
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Aggressive,1.25,16.32414942,24.14908314,3.493790963,11.90162921
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Highway,1.1,59.62688125,7.439758093,0.704886641,55.95559666
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,City,1,89.21401737,4.386019963,0.404987993,87.86405739
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,26.40934511,28.3188794,3.8644759,18.72649043
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Aggressive,1.25,40.62223352,26.20905583,3.568771219,34.57346874
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Eco,0.85,61.62249972,9.53876688,0.745901734,59.96494031
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,City,1,18.29948291,22.36612787,2.701223173,14.14375495
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Eco,0.85,13.66068947,10.33955719,1.009026821,11.00535573
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,City,1,71.08017089,7.439328265,0.618398027,69.31331938
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Highway,1.1,32.33387624,25.52244783,2.333723409,25.66609507
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Eco,0.85,42.29333028,9.610553132,0.945482658,41.09651679
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Highway,1.1,91.04294072,12.16818667,1.062302011,86.79373268
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,City,1,55.09721695,38.01381987,3.497131542,47.32581352
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Eco,0.85,74.36915509,6.454493432,0.548631942,73.06288856
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Highway,1.1,50.78054958,38.15781877,4.85805563,44.63111207
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Highway,1.1,28.40479248,36.60815986,4.85753629,21.92807743
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,46.07519201,34.18934301,3.55398576,37.61332115
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Aggressive,1.25,17.32690445,13.22840605,1.521205848,13.94644701
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Highway,1.1,33.46448018,21.07730627,2.31850369,27.9442333
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,City,1,60.65906976,23.78170346,2.378170346,54.99675941
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Highway,1.1,76.80194566,23.10519274,2.993605655,71.14295577
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,City,1,47.02519797,36.12088248,5.257770376,40.65677455
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,City,1,10.36468225,15.27015902,1.841997469,7.908685629
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,City,1,17.79381206,35.11183613,4.031209659,7.185365587
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Eco,0.85,86.29790448,5.58658097,0.520108853,85.35225202
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Eco,0.85,52.94752015,39.65982914,3.970654272,45.44155744
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Highway,1.1,13.67386132,33.45757536,3.059296167,4.933015128
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,City,1,11.27102684,19.8781861,2.282225728,5.265169658
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Aggressive,1.25,88.45429981,18.02135194,2.072372578,83.84902742
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Aggressive,1.25,48.25892996,29.08360248,4.173880953,37.27503272
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Aggressive,1.25,53.15452184,11.56998336,1.14781581,48.5632586
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,City,1,27.02036947,4.657159045,0.465715905,25.91152208
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,59.10990851,6.634493111,0.917633902,56.78088845
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Highway,1.1,43.9733154,15.91013096,1.916883249,40.48807313
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Aggressive,1.25,94.24226833,35.1124177,4.595866191,84.02923235
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,59.67323227,17.19252436,2.573731192,56.41534469
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Highway,1.1,13.48515898,16.00148339,1.864579633,10.32485452
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,21.16748409,22.77509712,2.142127269,8.785245536
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,97.96472836,20.13389099,2.205245454,93.95519117
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,30.97073025,34.3932349,3.550086179,17.31655264
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,91.12484946,15.72420146,1.301476419,83.60186437
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Eco,0.85,50.42563957,2.27667175,0.281684278,50.08445222
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Highway,1.1,46.61363098,31.84106257,5.098277849,40.43839133
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Highway,1.1,15.9648673,3.896705267,0.592859722,14.46014719
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Aggressive,1.25,49.17864238,23.05089263,3.052289807,44.00526983
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Highway,1.1,40.99690256,37.61379662,3.806363963,32.53831598
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Aggressive,1.25,25.13464752,17.99253823,1.937181119,15.04516252
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Highway,1.1,15.47210356,34.80485961,3.182489242,6.379277151
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Highway,1.1,97.22031272,13.52992977,1.488292275,93.67675969
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Highway,1.1,21.68155606,33.72472278,3.412805433,14.09754399
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Eco,0.85,28.68700806,12.51293169,1.231017585,27.12875795
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Highway,1.1,83.84525599,20.60733399,2.714738609,80.408878
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,City,1,35.24612972,33.31575413,3.064926783,26.36228397
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,City,1,54.59838047,6.025759797,0.453405553,51.97753913
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,37.57498791,36.66821233,2.993323456,25.10280685
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Highway,1.1,66.72657542,23.8165783,3.137513309,62.75503958
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,City,1,34.19012974,4.530670602,0.520168841,32.82126437
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Highway,1.1,56.71201478,9.307054057,1.234952891,55.06541093
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,72.42177464,25.50627688,2.111129012,60.21871676
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Eco,0.85,62.53744699,21.40557999,2.194782025,59.61107096
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,City,1,58.98563424,28.58741358,2.993446448,52.33353102
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,69.63930207,17.97949546,1.426944084,63.93152573
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Eco,0.85,70.52563682,13.45988903,1.380085124,68.68552332
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,City,1,61.72041241,39.6717257,3.663132567,49.50997053
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,38.81780688,38.80762441,2.74201835,30.98346873
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Highway,1.1,31.51695315,22.50236069,2.985837969,27.53583586
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,City,1,50.838882,38.73529418,4.483251641,45.16387992
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Highway,1.1,65.07475435,7.286445,0.731303787,62.57028933
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,63.89724468,22.73802174,3.403895469,59.58851624
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,26.36080763,16.72160038,2.281877781,21.82427128
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,City,1,45.42506426,24.50535817,2.934773433,41.71016118
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,94.23689452,2.417906892,0.36196211,93.77871463
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Eco,0.85,10.69468092,21.01869256,2.157716023,7.375117803
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Highway,1.1,57.45053321,4.133673517,0.419856036,56.05101309
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Eco,0.85,75.01646803,32.21389806,2.846342344,68.23946245
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Highway,1.1,65.74680397,25.8786095,3.100922707,60.49100277
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Eco,0.85,42.70999997,17.06318391,1.536409568,40.10591596
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,87.1386555,28.43671992,2.35367885,73.53357544
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,City,1,53.19078405,39.72538433,3.668087196,40.96382673
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Highway,1.1,67.53469397,27.83376425,2.793534733,57.96779419
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,44.34718619,29.92339399,2.374872539,34.84769603
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Eco,0.85,34.62025068,12.5870749,0.921534338,29.82059267
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Highway,1.1,83.46794898,20.38127428,2.062502457,78.88461019
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,City,1,14.34515633,29.7754638,2.458750107,4.888425145
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,City,1,38.66547623,31.44479524,2.613864941,31.19729069
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,City,1,59.94620283,9.999882232,1.455586933,58.18313726
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Aggressive,1.25,35.12284607,32.84082297,3.351104385,21.15991113
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,City,1,16.8754551,5.438364592,0.592414444,15.87136282
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Aggressive,1.25,86.90525925,28.54009312,3.708432058,78.07565911
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Highway,1.1,41.46314418,36.46231203,4.844026961,34.01079501
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Aggressive,1.25,40.5304917,2.538413768,0.251826763,39.52318465
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Aggressive,1.25,89.31808092,15.80277274,2.87532255,85.83537434
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Aggressive,1.25,87.75752153,35.85504743,4.13839421,73.96287416
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Highway,1.1,65.2913995,31.17156172,2.799079012,53.62857029
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,68.51116953,39.35963513,4.311022467,60.67294686
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,City,1,21.35004677,22.59737077,2.706271948,17.92438608
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Aggressive,1.25,53.88525508,2.398207106,0.237917372,52.93358559
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,City,1,33.63073031,21.88976259,2.533537337,30.42372103
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,89.80665367,17.27687423,1.41035708,83.93016584
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,14.66649653,39.09675312,4.282229257,6.880625149
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,City,1,61.344739,20.35439028,2.962793346,57.75608427
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Highway,1.1,73.07992347,19.19849972,1.6760595,66.37568547
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Eco,0.85,19.70811856,35.35632407,2.588533631,6.226172559
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Highway,1.1,34.87613827,24.37225178,2.188528731,25.75726855
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Eco,0.85,71.37329974,20.22654029,1.973887399,66.17885921
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,27.07451781,21.42408576,2.211404394,18.5691163
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,City,1,97.22961071,32.19961803,2.937921353,87.16823621
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Aggressive,1.25,30.86613583,2.824890618,0.415914402,30.07990823
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Eco,0.85,30.13464075,12.03365966,0.940994545,27.40712032
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,14.24762312,27.10838504,4.058141474,9.110735176
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,City,1,97.04453504,16.05507516,1.477007834,93.76229541
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Eco,0.85,73.9493636,21.0274527,1.539477588,65.93125116
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,88.32861393,8.579691246,0.88559984,84.9224607
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,45.34382926,8.331545052,0.689593646,41.35773882
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Highway,1.1,78.68161624,11.92411966,1.814181414,74.07709489
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Eco,0.85,40.92469139,14.95174809,1.270898587,37.89874237
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Aggressive,1.25,84.80069889,25.59601176,2.954294986,74.95304894
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,City,1,32.98209815,29.62418364,2.551609271,19.69246653
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Eco,0.85,25.43404732,22.98445078,2.301152316,21.08404294
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Eco,0.85,74.28157702,17.49545311,1.36808971,71.24137767
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Eco,0.85,93.94717344,9.100693765,0.804115353,92.03261308
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Highway,1.1,94.4347633,35.73757226,4.513355854,82.55751106
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Aggressive,1.25,74.45350176,11.57420318,1.576008059,71.78230166
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Eco,0.85,14.7250591,25.63387405,2.178879295,9.537251256
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Highway,1.1,32.04938663,32.14570836,4.265413655,26.36216843
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Highway,1.1,67.77411285,23.17958474,2.92738728,60.07046211
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,47.62776287,34.45897787,3.582014332,39.09915731
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Aggressive,1.25,81.13978793,3.391832647,0.365184394,79.23778588
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Aggressive,1.25,99.78935763,13.46620203,2.032941128,96.66175589
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,61.39393058,23.97111138,3.271166946,54.89061657
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,76.30863789,10.74985473,1.471776386,73.63268082
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,33.86004261,28.85009879,2.977921015,22.40650024
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Eco,0.85,67.29720607,15.73690573,1.235121872,63.18013316
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Highway,1.1,90.64144085,26.13851028,3.443396564,86.28271103
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,93.7315615,18.30483399,1.494272162,87.50542749
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,City,1,56.68420006,25.21764402,2.671360595,52.15647024
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Highway,1.1,16.00236764,2.137435177,0.276935064,15.47886091
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Aggressive,1.25,15.07626676,13.20612933,1.310131878,9.835739249
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Highway,1.1,27.58524387,8.112259409,0.741769356,25.46590286
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Highway,1.1,47.20532879,29.27432427,3.697101802,37.47611352
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,60.31915286,37.32792773,5.110614421,51.02712664
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Eco,0.85,92.45913056,38.17615907,4.723396683,86.7379621
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Eco,0.85,65.51133732,5.305549931,0.472221722,64.46195571
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Highway,1.1,67.30277888,27.56943605,3.658188138,62.4251947
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,City,1,64.10019592,18.68430834,1.718887612,59.11791299
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,97.70214998,21.82633923,2.978485157,91.78070832
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Eco,0.85,74.1610511,8.443774263,0.717720812,72.45219202
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Eco,0.85,64.43105379,10.4069642,0.816797745,61.70839465
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,City,1,75.69980942,33.52631067,2.887709791,60.65965426
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Aggressive,1.25,56.3612242,14.49998833,2.080939771,50.88506691
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Aggressive,1.25,54.70408067,2.306028416,0.305353339,54.18653264
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,60.89731921,31.30030156,4.271329361,52.40561074
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Aggressive,1.25,31.60041747,32.92726768,3.755390931,18.73948963
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,City,1,70.83426762,4.262884827,0.502106576,69.88510585
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Aggressive,1.25,95.92382706,27.71415418,3.187000251,86.68614517
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Aggressive,1.25,93.46784249,27.9856935,2.90790664,85.1595378
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Highway,1.1,83.23633832,36.16422129,4.685588153,74.37889379
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,City,1,30.59495001,12.81080404,1.864745857,28.33629466
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,City,1,24.14172874,3.736279422,0.321815626,22.46560569
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Highway,1.1,98.67274853,6.276071974,0.722898343,97.06630777
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,City,1,69.87212248,30.91818571,3.237506357,62.67766391
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Highway,1.1,86.1166652,27.84706644,4.236759762,75.36346784
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,City,1,56.75913466,31.13570374,2.571073802,46.87038926
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,City,1,31.62836097,18.5754113,2.70384444,28.35335559
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,87.44702323,18.66540525,1.940270816,82.82733081
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,City,1,42.07406835,3.085629183,0.363442778,41.38703096
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,24.90939932,20.42645372,1.443265641,20.7857832
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,City,1,55.081107,17.62076422,1.919473227,51.82776255
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Highway,1.1,49.24974034,20.42076115,1.782764862,42.11868089
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Aggressive,1.25,23.35083835,23.44617024,3.104630593,18.0887526
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Highway,1.1,16.53533678,26.46440832,2.911084915,9.604182224
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Aggressive,1.25,59.34726652,24.28864935,2.793082952,51.25137391
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,City,1,52.05975641,25.09685928,1.888401751,41.14413935
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Aggressive,1.25,17.38793363,11.73188783,1.349113135,14.38990444
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Eco,0.85,91.32793031,16.20796041,1.137635536,86.95240901
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Eco,0.85,38.66422207,29.03475719,1.857001024,27.93011211
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Aggressive,1.25,83.55700961,4.863613449,0.734241161,82.42740783
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,City,1,45.09383447,29.44850017,3.207897622,39.65671986
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,12.75751136,21.28634108,1.737660497,5.517259289
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Eco,0.85,52.50681222,23.28985072,2.370823128,49.50577029
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,City,1,69.07403972,14.17153867,1.711538487,66.44090359
